tweet_id,text,author,author_name,created_at,likes,replies,retweets,verified,followers,lang,in_reply_to_tweet_id
1.7321868560566643e+18,Ternyata kekuasaan membuat manusia tdk lagi adil. Mulai otak-atik konstitusi yg menguntungkan diri & keluarganya. Kekuasaan yg kebablasan disambut parpol2 tak berdaya yg sdg butuh2 nya. Pas gayung bersambut,Rfadlis1,Rfadlis,Tue Dec 05 23:55:03 +0000 2023,13,0,0,False,2730,,
1.7320758208128166e+18,"Di penghujung masa baktinya semakin semrawut aja ini Negara ,,",ArnoldS81008357,PaNadol MeRah🔌♥️🇲🇨,Tue Dec 05 16:33:50 +0000 2023,12,1,0,False,124,,
1.732183682381927e+18,Sekarang terbukti pilihan lu salah dua kali duk. Orang salah dua kali sekarang kasih saran pilihan presidennya apa ngga keblinger ..mana pede banget bilang orang baik pilih orang baik..radikal radikul ngga jalan lagi nih dagangannya??,Mercyboyz,last Round,Tue Dec 05 23:42:26 +0000 2023,6,1,2,False,250,,
1.7320492989034214e+18,Dear GAK ADA HAL YANG LEBIH BERFAEDAH UNTUK DI BAHAS?? Ini semua sibuk demi kepentingan dan kenyamanan partai partainya.,rido_trio,Rido Hutasoit,Tue Dec 05 14:48:27 +0000 2023,5,3,1,False,325,,
1.732184458537935e+18,Terlalu jauh buruk sangkanya.,kartarahardja,Toto Kartarahardja,Tue Dec 05 23:45:32 +0000 2023,5,2,0,False,15255,,
1.7320592034629596e+18,Jokowi perusak demokrasi..,Roykarokaro2,I cuk roy karo-karo,Tue Dec 05 15:27:48 +0000 2023,4,0,0,False,1501,,
1.7320854140251016e+18,semoga Tuhan dan alam semesta segera menegurmu🙏,sembiringjoe1,mynamejoe,Tue Dec 05 17:11:57 +0000 2023,3,1,0,False,104,,
1.732085191953482e+18,"Trus, kok sebego ini DPR ini? Kenapa dimasukin sebagai prolegnas?, trus kenapa DPR ngedraft UU beginian? Trus hubungannya sama jokowi, dmn? Coba kau terangkan , kulihat kau orang cerdas. Jelaskan dl sama km rakyat awam ini. Karna hanya faksi yg nolak.",swingvoters15,Swing Voters Nusantara (🍉),Tue Dec 05 17:11:05 +0000 2023,3,2,0,False,818,,
1.7322467992164884e+18,Kalau ini disah mahasiswa dan rakyat harus turun ke jalan dan lakukan sepeti 1998 lagi !,andes_lauw81,andeslauw,Wed Dec 06 03:53:15 +0000 2023,3,0,0,False,116,,
1.732163954569556e+18,jangan terus membuat rakyat Indonesia muak dengan segala cara kotor mu pak...,bnyo,D.Christian,Tue Dec 05 22:24:03 +0000 2023,3,0,0,False,418,,
1.7320552333192852e+18,Berp kursi sih pdip di dpr...?,the_ancha,THE R ANCHA,Tue Dec 05 15:12:02 +0000 2023,0,1,1,False,50,,
1.732086315473306e+18,"Rasanya baeu kemarin kau Puja² duk, mencret² kau...🤣🤣🤣🤭🤭",jogja_menyapa,~Jogja Menyapa~,Tue Dec 05 17:15:32 +0000 2023,2,1,0,False,7015,,
1.7320946752454656e+18,"Jokowi pas sama PDIP jauh lebih baik, pas udah keluar malah jadi edan 😭😭",Enthusiasticsy,sky,Tue Dec 05 17:48:45 +0000 2023,2,5,0,False,31,,
1.732229061374853e+18,"Semua tau biar putra mahkota atau semua kroninya busa jd gub dki ,sangat membagongkan😁😁😁",oezankzoegiat,ujangsugiat,Wed Dec 06 02:42:46 +0000 2023,2,0,0,False,1221,,
1.7322047386853706e+18,"Ketika itu jokowi msh kader partai, saiki biar kader Dinasti Orde Baru😃",rmiryanti,MiRa🌷,Wed Dec 06 01:06:07 +0000 2023,2,0,0,False,2152,,
1.7323087787737828e+18,Dan cuma PKS doang yg menentang di rapat dewan,menakdobol,MENAK DOOOBOL,Wed Dec 06 07:59:32 +0000 2023,2,0,0,False,1267,,
